"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"
906	2079	4476	12489	482	3716	7149	4327	6299	1697	10464	1661	7390	11503	1871	28532	32862	5703	1564	7672	1902	7158	6937	6280	14838	4010	6571	531	1436	7487	3492
14	6	0	45	1	0	2	0	1	0	2	9	4	2	7	13	75	24	2	1	3	6	13	4	25	3	23	7	34	16	3
1647	51	2010	275	2404	31	1358	2342	623	1336	16	509	2479	1534	1478	608	4069	979	2482	600	31	26	628	1198	1815	2333	153	129	1056	2092	401
81	0	73	52	829	67	57	18	94	63	150	9	64	35	24	225	13	28	53	38	45	28	33	25	6	142	46	29	16	135	26
2	2	65	32	10	20	32	1	26	26	0	10	14	0	1	4	100	11	6	0	0	5	0	1	6	2	20	3	4	54	20
3	40	58	38	21	9	66	8	2	4	63	40	18	53	33	31	4	3	20	20	1	25	1	11	4	24	4	13	7	38	54
1026	15904	6204	164	1744	7235	15666	1148	1999	3679	19	285	2022	3617	307	3186	2385	133	4902	823	1491	2239	284	1096	2528	1960	2530	974	926	11610	4288
150	92	16	285	13	211	509	263	10	391	7	136	35	74	25	669	755	37	91	181	68	4	14	39	330	68	193	41	42	98	22
9	65	27	946	809	545	568	80	343	42	1774	638	37	9	364	451	3264	168	219	428	174	198	443	232	160	853	31	250	16	336	282
657	3974	1837	1698	3349	74	6584	1267	806	5844	1207	481	2645	793	408	4300	3880	1290	16	3094	362	17	186	1300	12173	1806	2366	142	713	4817	1337
15	524	299	217	930	58	226	56	70	729	271	48	136	91	10	540	1545	276	282	7	305	18	80	132	143	437	174	18	2	68	33
75	161	100	77	193	74	52	47	78	161	27	78	0	175	11	125	292	67	38	52	247	52	20	6	159	88	414	122	163	439	65
11	10	88	118	41	38	106	47	34	13	29	84	6	240	46	95	104	23	45	73	89	214	75	68	22	323	186	3	4	158	99
16	27	87	118	29	4	29	45	13	21	3	63	98	53	8	143	100	57	82	92	25	72	39	60	29	165	24	178	14	163	37
130	30	214	30	1934	325	517	251	792	691	978	180	727	243	59	67	1096	83	89	35	385	771	211	252	1078	494	2025	404	295	150	23
33	125	119	178	84	102	36	24	37	80	124	0	48	5	36	40	134	44	47	31	66	127	47	19	40	47	37	25	30	33	6
8	54	27	113	10	31	6	1	11	92	8	129	260	56	14	76	352	116	126	13	1	291	86	46	3	109	155	57	183	168	197
56	3221	795	5530	646	214	1643	248	552	550	2651	173	1546	1377	143	2236	909	1177	164	11	617	410	46	1490	2309	1145	1807	1130	320	649	507
19	166	161	253	131	62	94	113	117	519	132	24	72	104	88	344	748	159	822	26	87	256	159	12	197	120	414	224	12	132	643
645	178	554	529	155	769	530	474	339	7	271	114	175	236	336	47	650	494	8	51	60	1592	170	101	550	704	538	111	283	501	445
148	2014	2494	429	668	197	1382	273	47	1056	251	486	875	413	262	112	4914	328	52	15	536	749	316	649	1529	2128	2051	122	121	120	2589
106	438	50	384	125	809	155	166	24	309	181	168	111	632	59	32	383	263	345	297	18	147	110	224	4	1448	47	20	38	48	101
329	277	14	101	76	39	18	117	59	199	21	8	61	5	13	88	39	118	8	23	20	100	2	17	51	42	226	40	106	158	121
67	255	55	165	158	50	120	56	41	723	77	70	37	68	307	192	705	3	121	115	31	140	27	17	224	236	360	179	126	80	4
51	47	1	58	12	10	0	0	0	103	137	9	30	8	42	80	203	121	61	181	9	15	24	23	146	11	146	25	6	8	1
15	64	604	200	209	152	474	54	19	48	69	52	15	54	212	60	631	83	59	240	114	30	97	227	550	147	257	259	497	328	85
40	172	143	39	38	32	1	15	38	144	82	118	105	168	13	171	14	38	98	28	16	70	90	121	43	86	11	157	52	12	71
9	18	42	17	7	3	9	51	9	32	182	34	42	42	3	167	2	21	22	36	24	28	4	83	49	9	90	11	4	43	7
285	181	319	280	270	7	613	124	60	514	124	82	433	278	42	737	591	47	248	199	64	192	73	15	29	104	77	14	44	528	79
0	2	8	20	16	2	125	0	6	2	6	56	2	100	5	21	28	2	38	22	2	3	57	5	3	48	9	13	9	32	4
218	1410	68	127	884	74	58	585	123	2912	1074	858	672	1708	61	428	6084	216	546	394	174	956	151	11	1200	2560	302	381	609	79	711
64	676	2126	3406	2285	1630	1542	205	686	349	2810	959	50	843	4966	4273	2793	5053	429	122	1032	1722	1196	438	641	1478	83	678	2102	120	2840
3333	6258	11312	2996	6632	5060	58	4946	760	677	197	1007	3854	11055	4826	7989	1118	7412	31	811	3507	1385	1113	3315	1371	9347	806	3057	11084	361	380
72	2704	396	2925	460	77	3966	1582	91	819	791	5594	766	1143	2521	2864	2120	515	2038	1626	408	3074	646	450	1645	6240	3871	733	3717	481	2850
620	421	537	2005	1096	0	15	122	510	387	2048	541	22	1198	1663	1577	2015	1069	109	558	155	1898	297	79	201	171	2992	1400	66	1048	979
53	40	707	640	32	268	51	79	373	267	634	200	38	232	405	42	929	1211	59	128	709	935	110	55	126	1468	90	460	233	1425	183
12	6	0	154	36	4	107	31	10	19	56	1	14	5	6	20	62	5	69	9	13	1	17	14	46	71	105	0	36	99	14
843	481	618	1640	156	1	429	277	112	323	94	25	64	589	634	1032	1546	622	710	791	547	1459	204	474	701	363	2109	264	590	1165	204
8	6	48	132	23	40	124	24	38	209	348	35	12	33	92	347	47	1	57	20	81	50	18	89	17	45	37	154	54	209	116
67021	496701	124046	426254	308431	98210	361134	255243	350464	2943	123729	64738	144067	195860	356181	673320	1264824	391413	158975	493709	31972	963536	347636	1547303	227569	235305	1009628	786909	217864	66985	222461
29	262	40	24	131	3	253	30	5	47	91	0	66	52	51	235	155	21	100	48	30	16	8	119	155	78	281	16	18	351	3
6	166	89	143	103	8	77	5	53	100	112	29	12	17	86	40	437	24	143	80	8	10	28	19	3	3	19	9	32	10	103
0	10	4	104	144	51	41	52	4	6	5	117	51	57	4	39	139	77	153	65	46	34	35	19	119	147	113	39	109	42	38
5	759	355	37	162	36	316	17	61	113	634	129	101	225	98	73	186	151	31	63	38	409	52	123	181	273	385	110	29	554	10
1	14	9	6	7	9	14	4	7	17	12	44	21	4	20	11	4	17	3	3	0	12	1	9	29	25	59	7	7	37	8
1844	6682	110	778	387	1645	5389	1602	2418	1438	532	367	1358	286	647	6600	5779	2418	1173	3588	1386	605	122	3164	152	975	95	668	1160	765	2682
218	65	313	312	68	2	400	317	293	198	474	0	33	153	35	117	418	84	141	149	34	66	76	17	223	285	90	305	85	523	95
1397	110	1764	442	297	189	13405	1219	562	2281	2124	596	1214	24	7	197	989	658	881	2422	1110	50	824	876	1966	397	584	825	1430	5550	80
10	221	101	205	106	86	89	15	94	15	530	371	82	32	98	19	168	52	179	5	34	65	32	32	33	62	229	92	87	1	90
9	47	29	11	13	5	46	13	2	4	2	41	176	26	59	85	43	3	5	2	68	28	0	2	31	7	65	101	23	166	44
40	43	56	48	103	25	263	13	64	180	261	11	15	54	67	87	34	23	128	162	102	181	30	42	121	385	148	109	46	138	90
120	23	30	747	61	79	47	337	269	104	0	26	45	37	18	377	383	252	97	155	275	59	0	123	963	260	118	119	115	92	19
2858	76589	10209	30464	535	7245	22216	60	1026	34314	21934	266	1075	40	6397	76984	16740	10653	17672	480	12485	217	1356	5698	11386	1681	2066	1340	2936	297	24176
500	2050	542	844	548	1089	1804	18	244	218	420	167	1491	1238	60	2567	2237	563	336	245	180	1313	1086	107	255	5	827	14	379	551	114
82	6	113	687	548	47	33	13	122	42	28	104	63	119	30	860	38	298	19	439	38	65	137	34	357	562	152	64	21	116	53
61	1499	685	50	578	140	22	533	291	1196	174	11	592	1492	487	679	962	342	963	301	187	489	1533	340	527	1479	83	429	28	809	73
166	3461	185	786	1324	678	832	470	203	683	122	517	54	50	148	206	2989	100	54	497	417	137	246	14	525	498	846	532	41	5051	310
6	45	3	3	26	4	2	1	1	46	9	0	11	1	9	16	1	6	14	11	0	34	15	3	7	15	33	29	1	103	3
13	14	21	5	21	5	7	8	12	29	41	17	0	30	5	59	3	0	5	11	8	3	3	23	0	15	4	6	11	38	1
1038	2786	4949	2710	5708	229	19001	637	1052	3902	567	893	713	47	789	2389	541	436	496	2938	708	1548	1563	601	248	9302	7016	1486	1669	831	1251
834	10136	16539	5352	254	8884	10889	66	5204	283	15449	9135	11842	20714	3138	2927	39706	26966	4352	2110	209	2585	10991	7589	827	7010	3046	2654	585	5566	5505
5	256	431	602	328	284	95	17	124	383	240	102	773	60	52	875	283	203	17	115	55	23	56	295	104	736	71	67	186	175	184
163	50	541	73	137	144	301	66	278	593	246	248	191	870	27	251	1720	542	140	787	40	85	938	115	323	176	516	221	629	724	474
0	39	96	5	25	9	44	8	8	33	22	4	15	17	32	88	75	11	4	0	20	25	0	4	0	29	49	5	30	86	0
3	56	31	24	16	15	8	10	65	1	9	42	83	44	6	84	84	59	48	2	6	21	12	27	87	179	33	5	23	19	1
8	31	81	10	2	1	4	2	16	29	77	2	8	36	0	34	85	0	17	20	1	3	24	33	24	3	8	8	34	74	0
1626	17768	5766	1248	3545	15337	8689	613	8154	12264	4933	7213	8339	7495	13250	23682	20669	9758	14232	5999	10167	1074	1686	10411	17480	2998	27183	11669	6206	18487	7242
61	2141	91	5670	2597	121	3513	435	1008	793	1458	34	3569	410	94	5503	2573	552	7345	5282	2426	6867	155	32	193	5651	1049	346	726	188	2537
2	200	147	61	156	17	39	36	8	187	12	134	73	4	7	33	174	50	56	74	2	62	124	72	308	38	26	16	28	150	54
81	685	302	137	1237	253	1624	698	189	125	714	1165	757	1784	329	3494	4363	142	1023	178	967	616	1860	738	301	2434	5761	212	1513	4504	1811
57	561	583	732	1194	385	618	321	311	2352	436	1498	332	29	191	53	525	107	505	126	279	842	189	1577	20	47	841	917	1777	370	510
33	169	156	14	129	33	183	11	36	115	98	76	11	210	188	37	16	296	29	3	194	149	27	59	34	53	352	89	10	15	52
101	176	509	779	30	163	449	481	2	107	128	77	334	759	75	1604	3385	2	31	109	13	128	231	159	98	592	334	62	665	73	96
45	159	549	512	210	5	19	210	64	628	533	497	743	219	136	566	8	183	181	358	154	258	17	32	47	51	2	500	63	1346	86
1507	6970	209	166	1670	3308	274	1258	3952	4368	228	5872	3008	196	9459	2249	13269	470	685	218	4078	3193	9177	1982	2081	884	5159	712	2590	5339	112
60	42	132	40	89	18	68	104	55	2	74	77	57	18	123	242	29	507	152	132	7	31	11	58	99	42	108	24	91	87	61
86	27	5731	771	2387	1203	154	42	34	67	80	1308	185	158	387	754	360	90	928	415	164	4	454	805	399	1236	88	161	1954	1387	879
773	1782	2513	179	650	362	1302	461	20	985	1559	977	42	611	809	742	3817	443	517	441	11	635	171	392	102	1102	1531	156	25	253	757
1121	1295	274	211	4667	1066	2555	634	1827	591	2183	1422	760	3551	1478	1669	6873	1694	1538	2012	843	733	3702	356	3006	3268	1581	412	1353	188	1006
159	221	132	325	99	5	78	4	13	105	35	267	100	104	17	197	140	39	11	81	42	32	20	257	183	93	174	8	91	10	39
12	20	63	32	5	67	10	30	9	14	196	123	15	59	16	273	96	17	4	119	32	32	20	108	34	46	33	12	2	52	0
124	1119	602	420	1489	4	556	140	288	158	68	21	152	198	269	96	135	63	1334	65	566	6	5	15	239	420	219	18	11	1522	508
38	196	1094	288	472	187	284	380	247	161	793	41	382	521	184	1114	972	186	404	280	153	274	522	455	25	329	82	102	140	631	266
120	314	102	724	70	242	55	42	7	25	524	327	720	549	194	1541	40	67	18	167	38	28	9	265	330	82	203	323	143	28	159
234	6643	971	1012	770	24	2901	725	1417	4105	2715	1088	2360	795	412	612	1335	37	447	925	727	1449	462	372	703	4010	1210	1201	272	52	30
302	471	89	367	303	73	84	185	146	872	376	231	732	109	318	22	604	82	213	139	223	1	507	910	1018	1185	762	8	85	717	118
1693	1272	4704	1125	130	134	635	927	478	232	294	1082	1064	489	329	399	1812	1765	2610	559	1131	1142	5428	1668	841	382	1475	331	191	144	504
110	164	513	32	452	345	161	442	113	350	145	50	295	59	145	600	2242	9	525	84	33	4	187	14	118	62	68	34	227	186	1490
7124	453	1480	3684	567	469	3117	958	958	13758	7589	10257	1092	1883	3087	1691	4501	16180	5130	9906	6702	4482	15183	4909	1141	10462	16456	252	3840	9632	355
11	162	198	202	6	7	156	43	18	5	6	1	9	9	10	14	198	216	48	0	22	17	1	131	6	89	35	9	2	57	8
100	392	59	41	174	138	119	472	2	143	130	34	20	13	38	43	734	38	44	153	86	7	338	166	27	135	147	1	71	134	1
14	68	45	35	88	25	14	35	6	21	1	32	24	7	16	153	43	13	1	7	15	32	33	20	4	33	12	2	9	5	9
305	3367	17108	1129	2502	478	915	612	909	74	3987	7388	7544	2611	3374	218	13244	1103	1751	1573	5625	2269	1898	6	1279	5156	245	768	5312	3603	38
4141	6158	4262	24633	3618	914	9393	5023	1149	2671	14830	948	8294	7846	4718	14892	33624	799	2944	9745	320	5342	4834	1568	15797	58194	65797	903	18143	12329	915
196	5135	1029	421	2056	492	4569	902	1997	1464	1336	1447	2299	787	3014	1362	9176	3944	523	2565	249	863	1690	5866	3360	2924	17499	871	461	216	498
10	13	5	77	2	4	13	42	11	0	53	5	68	13	14	0	36	21	8	29	0	8	9	8	2	22	18	13	10	85	3
0	10	1	21	3	3	1	7	0	22	2	7	18	1	6	3	20	79	4	1	5	3	42	4	3	21	1	3	6	0	2
9	6	66	4	16	6	13	8	69	27	26	57	98	67	35	10	26	45	17	4	34	26	8	35	0	125	138	0	36	4	6
34	10	69	438	41	57	331	57	24	46	42	61	18	180	4	536	1003	141	62	18	102	23	87	27	0	161	165	1	85	69	7
6	9	9	3	12	17	43	11	0	0	26	10	0	17	3	95	63	3	10	0	0	13	6	6	8	8	2	5	0	14	8
5	157	193	99	355	214	682	34	423	497	167	336	296	43	15	520	844	171	38	533	52	108	700	198	5	108	1	110	118	91	729
257	141	410	128	613	292	37	81	5	692	55	255	197	160	14	329	1416	211	767	304	236	113	151	77	819	468	1696	7	210	1855	75
69	23	70	126	286	246	678	7	119	34	64	116	119	143	376	1855	157	77	1050	111	105	254	117	103	165	5	364	417	1	334	28
39	28	2	137	10	4	9	3	24	108	4	8	1	33	8	19	95	84	53	72	2	6	5	15	0	21	5	5	89	9	5
1	24	89	47	23	1	152	43	4	21	2	31	20	6	8	50	24	4	13	8	10	12	7	16	9	81	52	8	3	18	87
0	20	61	41	65	3	71	105	2	73	25	80	26	51	11	2	289	42	3	9	37	28	24	14	14	8	30	113	0	20	32
78	122	636	550	97	216	50	175	214	1533	203	463	116	694	54	627	1022	658	188	111	717	146	325	64	31	701	14	13	436	432	231
22	76	66	150	136	34	45	49	28	495	192	137	192	132	8	107	346	81	189	34	194	12	37	17	71	268	38	10	228	124	29
5	52	0	2	22	0	30	0	10	3	14	16	4	1	2	0	36	1	16	0	0	0	0	0	9	1	8	0	7	2	8
9	1	4	3	24	3	18	1	7	0	8	8	3	1	15	27	96	36	20	13	10	7	6	0	16	48	1	6	2	3	5
111	389	107	885	4893	423	525	876	552	2038	83	1159	106	2979	386	1217	1302	1514	1368	17	77	1412	1545	1312	4088	194	3641	26	314	4458	185
145	448	461	339	150	162	1125	420	5	266	279	92	248	180	228	350	1723	637	322	29	646	214	527	59	648	687	1855	184	878	226	433
62	40	20	159	26	133	90	37	65	3	105	8	16	3	51	206	121	40	14	0	5	66	50	65	22	81	106	9	5	30	2
114	45	408	76	103	6	74	254	35	7	97	261	55	3	201	87	1	37	73	53	13	18	125	162	17	69	109	66	213	11	8
526	5668	364	426	180	248	1360	174	115	817	155	334	11	1410	42	657	742	533	310	341	2	107	1868	651	434	639	3661	46	257	1161	126
17	14	38	21	47	12	51	3	78	104	126	5	359	3	16	18	18	12	53	128	23	4	4	38	0	45	742	7	41	33	14
0	0	2	14	6	16	5	9	1	41	13	19	10	49	0	5	11	39	7	1	22	0	2	14	4	0	0	12	0	16	3
33	22	76	9	2	2	12	54	8	24	85	1	2	30	5	33	85	57	4	1	1	31	2	13	16	55	10	4	35	51	25
6	10	108	101	8	58	30	13	2	68	138	10	69	14	56	77	30	37	24	19	5	6	5	14	4	133	55	4	12	24	13
84	51	67	71	15	8	6	6	44	90	55	15	24	296	32	5	408	10	38	9	46	3	45	13	67	202	23	113	141	33	11
8	31	3	4	1	10	12	4	1	1	30	2	11	2	7	6	52	5	22	11	26	9	12	7	19	0	78	6	4	2	13
606	464	9	295	465	702	349	322	120	1103	725	499	671	453	524	745	394	1032	1066	59	106	832	57	1217	410	417	587	94	107	506	33
4	6	14	79	19	10	33	8	1	11	41	7	27	17	15	25	37	19	5	28	3	2	9	1	38	21	37	11	3	76	17
114	107	366	381	404	85	237	458	36	295	431	33	247	24	83	326	2024	23	453	106	6	360	33	134	180	1312	1151	94	16	145	74
1281	7987	4821	1280	6122	278	22317	6862	9425	2843	12768	339	6187	67	4875	36718	10154	1458	3255	2448	191	10492	7945	1857	12282	5671	1257	3278	38146	4306	1270
35	45	16	20	23	6	35	0	18	5	20	36	7	19	13	15	127	20	4	35	50	39	119	49	127	103	6	29	66	1	15
3134	12480	547	3442	2184	754	4282	764	4529	2379	4	265	1672	1320	2026	1614	1370	1318	254	1309	3402	1921	1697	475	119	719	162	919	3396	766	775
164	210	214	70	114	15	148	68	158	98	60	728	56	375	58	284	129	537	165	87	3	512	258	9	172	680	194	127	37	225	76
245	2997	1411	637	529	514	217	144	426	288	786	478	1326	640	259	1005	2	162	303	181	311	329	209	284	121	160	441	4	186	259	1522
374	127	288	454	11	109	450	6	185	198	281	55	1077	229	27	605	741	7	162	75	185	570	5	499	172	1170	158	313	356	129	156
254	1203	23	2230	412	500	341	389	76	196	336	145	61	35	224	37	670	66	79	205	104	337	1320	607	63	607	566	44	549	1673	79
134	186	648	4404	652	12	922	230	361	282	417	369	600	8	12	1958	883	964	279	195	405	1063	150	322	124	115	1576	419	258	266	70
118	1044	203	1034	195	164	100	600	130	621	189	229	46	296	263	74	618	454	16	107	490	453	39	1071	314	110	747	538	233	211	1046
12159	4950	7097	4857	10173	2187	459	509	582	2902	3210	2234	2578	6237	2226	13598	7840	11074	2450	4015	908	1309	3958	270	1184	80	4245	157	5805	20937	454
0	12	3	4	6	9	55	6	8	29	0	2	13	9	2	5	23	5	1	44	2	33	11	14	16	9	51	10	18	23	0
42	324	2	503	13	6	34	85	4	239	181	287	347	307	204	43	245	48	8	24	225	82	428	6	236	111	21	465	2	230	240
771	146	758	1451	563	283	2412	812	1363	354	765	1327	345	1310	583	645	6919	214	1235	344	854	729	482	85	509	1180	3420	199	977	2099	561
26	279	1379	252	690	510	539	21	41	639	648	178	292	148	402	1526	5935	490	315	406	22	984	1	200	233	2026	224	517	693	101	732
51	77	522	540	24	0	56	159	290	96	38	4	1	73	53	117	803	78	59	85	11	5	161	209	152	544	478	221	494	481	167
12	71	27	13	16	2	69	1	1	30	12	36	8	13	18	26	39	29	2	150	32	13	60	4	28	0	10	21	2	7	8
108	121	74	128	243	96	40	20	38	75	31	58	37	16	33	132	209	42	4	5	0	71	16	65	53	131	40	2	362	72	2
154	171	1352	948	239	40	212	36	42	273	231	27	76	130	454	71	1082	34	690	15	481	195	27	14	415	234	160	315	197	0	32
384	292	291	64	67	84	586	117	40	69	331	52	273	555	26	564	2631	911	1074	7	330	228	9	46	157	1532	383	404	185	380	25
450	1067	708	673	580	122	158	1348	1470	523	886	38	1245	1363	135	704	1268	1374	1162	2105	195	850	2066	132	363	225	65	766	116	728	540
28	181	68	883	572	51	1149	274	294	37	68	805	251	78	658	393	6212	217	58	1027	645	3196	1313	344	43	404	75	502	1284	846	603
51	471	392	361	678	305	797	616	165	132	1101	1486	345	97	344	908	658	247	669	1186	208	350	178	28	194	198	76	308	220	4	382
7	1	23	38	3	2	22	5	0	56	15	8	27	31	22	20	38	30	6	19	21	11	61	29	17	7	54	3	12	1	22
2	3	0	4	3	7	2	1	24	12	6	17	26	3	3	96	88	6	1	1	7	11	0	0	5	1	28	1	4	16	3
11	1739	421	1925	172	102	543	296	485	39	371	2596	1367	664	1437	272	6252	408	803	56	487	152	45	17	724	291	802	703	242	212	200
125	8217	824	5817	302	178	4414	1669	145	361	2587	4610	1159	2736	3909	17097	1596	1722	7022	9708	719	7660	22901	1047	161	980	10800	10248	12549	1042	4093
637	110	86	40	277	238	117	263	72	321	28	28	115	186	148	31	39	84	79	280	338	318	172	201	829	753	686	141	83	425	150
63	79	877	1013	255	47	578	303	692	756	1884	1034	375	460	1134	812	23	15	488	307	241	329	287	798	155	93	32	440	424	387	336
0	19	3	23	28	16	0	3	41	2	67	32	13	52	21	31	39	34	8	12	26	12	7	0	7	8	9	20	0	7	20
